,status_group
53322,non functional
22577,functional needs repair
23056,non functional
53936,non functional
23079,non functional
10780,non functional
54701,non functional
19713,functional
14190,functional
8240,non functional
42586,non functional
10779,non functional
35147,functional
9578,non functional
52982,functional
30450,non functional
30824,non functional
22143,non functional
38583,functional
20348,non functional
53129,functional
38282,functional
15143,functional
12272,functional
17036,non functional
764,functional needs repair
20231,functional
46035,functional
46876,functional
5873,non functional
41428,functional
9948,functional
59206,functional
47693,functional
57125,functional
49124,non functional
39708,non functional
46603,functional
8839,functional
29108,functional
33336,functional
30764,functional
32401,functional
25612,non functional
34876,functional
51268,non functional
26810,non functional
41097,non functional
49234,non functional
46923,non functional
16549,non functional
11515,functional
28032,non functional
36270,non functional
16845,functional
56303,non functional
53324,non functional
5551,functional needs repair
43154,functional
4127,non functional
34202,functional
18805,non functional
15656,functional
30658,functional
24676,functional
54192,non functional
25764,functional
53345,non functional
36095,functional
26168,functional
7154,functional
24884,functional
57063,functional needs repair
19955,non functional
1944,non functional
56690,functional
39906,functional
47284,non functional
47331,non functional
30944,functional
42720,functional
40496,functional needs repair
53389,functional
3485,functional
53086,non functional
41687,non functional
403,non functional
11995,functional
53817,functional
55067,functional
55412,functional
24358,non functional
52725,functional needs repair
1347,non functional
2619,non functional
16542,functional
9448,non functional
8403,functional
54018,functional
23125,functional
41194,functional
25450,functional
18972,non functional
23403,functional
35028,non functional
34847,non functional
53102,non functional
23096,functional
3613,functional needs repair
11961,functional
27501,functional
35624,non functional
1176,non functional
37803,non functional
17,non functional
18892,non functional
11884,non functional
31491,non functional
13576,non functional
11514,functional needs repair
8277,functional
33795,non functional
50128,functional needs repair
31539,functional
49325,functional
52523,non functional
18986,functional
1054,functional
34473,non functional
40057,functional needs repair
19451,functional
24456,functional needs repair
2343,non functional
23619,functional
20015,functional needs repair
41023,functional
12508,non functional
17555,non functional
28445,functional
37339,functional
14733,functional
46682,functional
20305,functional
31485,functional
18335,functional
36350,functional
33054,functional
36277,non functional
35866,non functional
36697,non functional
35884,functional
30476,non functional
28195,non functional
43354,functional
23020,functional
35695,non functional
1065,functional
39521,functional
4690,functional
27971,functional
34355,functional
29335,functional
376,functional
27059,non functional
27295,non functional
49958,functional
2085,non functional
19429,functional
28553,functional
39597,functional
14083,functional needs repair
20071,non functional
41920,non functional
43362,non functional
30644,functional
45314,functional
47317,functional
51281,functional
37014,functional
28556,functional needs repair
20063,functional needs repair
45301,functional
37648,functional
51921,functional
29431,functional
2126,non functional
36273,non functional
37535,functional needs repair
9000,functional needs repair
57715,functional needs repair
7647,functional
55756,functional
38387,non functional
13957,functional
31297,non functional
5971,non functional
5869,non functional
6620,non functional
58766,functional
53675,non functional
16250,non functional
54410,functional
4572,non functional
32218,functional
48089,functional
12599,functional
9577,non functional
13969,functional
4602,functional needs repair
1593,non functional
20339,functional
37781,functional needs repair
41437,functional
27814,functional
40993,functional
35110,functional
35229,non functional
10545,functional
19587,functional needs repair
1260,functional
9755,non functional
18948,functional needs repair
8868,functional
15501,functional
34776,functional
7118,functional
17686,functional needs repair
17767,non functional
25004,functional
21496,functional
17425,non functional
9296,non functional
47416,non functional
42796,functional
2518,non functional
9015,functional
45442,non functional
12672,non functional
13954,non functional
14207,functional
8421,functional
56639,functional
43580,functional
23085,non functional
12571,non functional
34213,non functional
5254,functional
38147,functional
40016,functional
31314,non functional
40226,functional
33378,functional needs repair
1991,functional needs repair
14792,non functional
7471,functional
17846,functional
9781,non functional
44286,non functional
20596,functional
24953,functional
52561,functional
10071,non functional
37919,non functional
51847,non functional
18806,functional
46470,functional
8824,non functional
34102,non functional
28168,functional
44383,functional
52596,functional
57363,functional
3842,functional
4372,non functional
40807,functional
40322,functional
37954,functional
17770,functional
37316,functional
58576,functional
11974,functional
35077,non functional
40028,functional
40525,functional
46654,non functional
56066,functional
53756,non functional
57221,functional
37515,functional
27595,functional
2615,functional
43533,functional
27674,functional
1575,functional
3100,functional
805,functional
5182,functional needs repair
1959,functional
31757,non functional
4908,non functional
19354,functional
11520,non functional
39407,functional
55202,functional
40019,functional
43375,non functional
10001,non functional
34903,non functional
25055,functional
29458,non functional
41720,non functional
44621,functional
5365,non functional
22654,non functional
952,non functional
20042,non functional
32329,functional
13590,functional
45732,non functional
54914,non functional
48649,functional
13474,non functional
52396,functional
28346,functional
42093,non functional
14725,functional
46749,non functional
27062,functional
21860,functional needs repair
55227,non functional
7618,functional
54883,non functional
50619,functional
29071,functional
53055,functional
16418,non functional
31151,functional
51249,non functional
29836,non functional
5856,functional
34985,functional
34608,functional
53601,non functional
22619,functional
4169,non functional
50246,functional
15209,functional
14310,functional
52299,functional
43853,non functional
10111,functional
31458,functional
387,non functional
45478,functional
49030,functional needs repair
26454,functional
45999,functional
42371,functional
58188,non functional
17524,functional
11925,functional
24203,functional
7109,functional
35630,non functional
378,functional needs repair
26045,non functional
46565,functional
24735,functional
30528,non functional
59112,functional
18177,non functional
24152,non functional
49061,functional
16830,functional
26276,functional
48111,non functional
50886,non functional
34156,functional
42735,non functional
57024,non functional
1761,non functional
6426,functional
42366,functional
45470,functional
52566,functional needs repair
20444,functional
24249,functional
51668,functional
31450,non functional
8352,functional
656,non functional
15866,functional
48308,functional
53559,functional
26294,functional
41210,functional
59352,non functional
34573,functional
6664,functional
45224,functional
44249,non functional
42212,functional
25243,non functional
28051,non functional
18274,non functional
59262,functional
32778,functional
6726,non functional
29909,non functional
48226,non functional
19646,non functional
17553,functional needs repair
12036,functional
35698,functional
3043,functional
36019,non functional
53897,functional
20876,functional
19697,non functional
51776,functional
58856,functional
4405,functional
17164,non functional
58997,functional
46917,functional
54330,non functional
12667,functional
57523,functional
14173,functional
8135,functional
19371,functional
25866,non functional
22824,non functional
41305,non functional
33983,functional
19570,functional
35620,non functional
43929,functional needs repair
41006,functional
43957,functional needs repair
55353,non functional
2588,functional
50214,functional
14214,functional
46648,non functional
27118,functional
47742,functional
19347,functional
12389,non functional
8561,non functional
14269,non functional
25593,functional
56567,functional
9370,non functional
49533,functional
9164,functional
57037,non functional
30421,functional
34471,non functional
22664,functional
29885,functional
29319,functional needs repair
46429,functional
24634,functional
58946,non functional
56351,non functional
51510,functional
43855,non functional
42452,functional
9188,non functional
29215,functional
55705,functional
17445,non functional
51806,functional
5384,functional
33393,functional
37620,functional
26656,non functional
58447,non functional
6532,non functional
14189,functional
12168,functional
57659,non functional
38804,functional needs repair
56057,functional
23850,functional needs repair
5928,non functional
30667,functional
33463,functional
14623,functional
8937,functional
17672,functional
50766,functional
55272,functional
59069,functional needs repair
19512,functional
35066,functional
2896,functional
27309,non functional
49547,non functional
43275,functional
45725,non functional
19847,non functional
36414,functional
48086,functional needs repair
7123,functional
49842,functional
54634,functional
43675,functional
1086,non functional
14993,functional
42377,functional
12649,non functional
33335,functional
41841,functional
51552,functional
56794,non functional
52313,functional needs repair
14470,non functional
12108,non functional
47811,functional
4292,functional
35616,functional
54236,non functional
33707,non functional
44445,functional
16976,functional
44779,functional
44060,functional
26743,non functional
20032,non functional
9640,functional
41333,non functional
56192,functional
12768,functional
12534,functional
44478,functional
37728,functional
32453,functional
50206,functional
57449,functional
41385,non functional
57840,non functional
6492,non functional
28592,non functional
7469,functional
47529,functional needs repair
25109,functional
37256,functional
28627,functional needs repair
39704,functional
10850,functional
13738,functional
11899,functional needs repair
37105,functional
42656,functional
17831,functional
22243,functional
51107,functional
15273,functional
41112,functional
39676,functional
25075,functional
22715,non functional
53296,functional
10792,non functional
40468,non functional
32378,non functional
44394,functional
47113,functional
48884,non functional
41944,functional
8923,functional
58769,functional
29937,functional needs repair
28722,non functional
17588,functional
49701,functional
51897,functional
46987,non functional
5467,non functional
4322,functional needs repair
3820,non functional
19998,non functional
51380,functional
32715,non functional
5884,functional
47818,functional
37397,functional
44404,functional
28846,functional
33015,functional
9838,non functional
57920,non functional
58640,functional
50084,functional
41123,functional
58118,functional
54428,non functional
27986,functional
15140,functional
24441,non functional
19104,functional needs repair
50855,non functional
51269,non functional
8170,functional
26831,functional
45894,non functional
32730,non functional
22609,functional needs repair
24804,non functional
5916,non functional
16432,functional
21719,functional
5490,non functional
56606,functional
49219,functional needs repair
35487,functional
52033,functional
46709,functional needs repair
11919,functional
51245,non functional
15965,functional
42898,functional
6198,functional
23277,non functional
48359,non functional
26908,non functional
54075,non functional
52677,functional
35327,non functional
17901,functional
56449,functional
31536,non functional
49184,non functional
11783,functional
9905,functional
51240,functional
17966,functional
52994,non functional
52435,functional
21410,functional
15869,non functional
1248,functional
37142,functional
23222,functional
8216,functional
29229,functional
58626,non functional
22607,functional
7948,functional needs repair
26744,functional
33408,functional
21755,non functional
7775,functional
15421,functional
22772,functional
42439,functional needs repair
18469,functional
34781,functional
43274,non functional
14921,functional
23410,functional
23815,functional
45720,non functional
11105,functional
9564,functional
9576,functional
8439,non functional
33748,functional
33119,functional
17577,functional
45329,non functional
32446,non functional
18983,non functional
41767,functional
18390,functional
47595,functional needs repair
19431,functional
12075,functional needs repair
10497,functional
978,functional
22780,functional
3155,non functional
28580,functional
36944,non functional
28100,non functional
51069,non functional
53942,non functional
49654,non functional
9339,non functional
27522,non functional
32395,functional
13991,non functional
24983,functional
47982,functional
42008,functional
56111,functional
5559,functional
42301,functional
12299,functional
17725,non functional
34388,functional
36732,functional
24347,non functional
8973,functional
11260,non functional
5780,functional
1758,functional
37243,non functional
4801,non functional
15341,functional
22795,non functional
37113,functional needs repair
15843,functional
8795,functional
49333,functional
44240,non functional
10362,functional
5821,non functional
22569,non functional
19865,non functional
31650,non functional
20087,functional
26731,non functional
51202,functional
48866,functional
40285,non functional
32595,functional
43302,functional
25222,non functional
53485,non functional
16852,functional
39021,functional
6325,functional
43578,non functional
43564,functional needs repair
15057,functional
50208,functional
31866,non functional
752,functional
53630,non functional
15652,functional
32999,functional needs repair
50339,functional
18097,functional
51917,non functional
3160,functional
37816,non functional
24132,functional
45045,non functional
19969,non functional
18112,non functional
23588,non functional
9419,functional
18724,non functional
12507,functional
46440,functional
31579,functional
51045,functional
39505,functional
21214,non functional
47942,non functional
3711,functional
13849,non functional
7577,functional needs repair
54193,functional needs repair
12513,non functional
47868,functional
9975,non functional
12484,non functional
42479,non functional
43986,functional
36231,non functional
25722,non functional
19789,non functional
27827,functional
40032,functional
40208,non functional
8111,functional
7698,functional
4428,functional
1433,functional
46713,non functional
5758,functional
42136,non functional
3109,functional
54310,functional
28588,functional
10865,functional
48652,non functional
2879,functional
2750,non functional
29551,functional
42031,functional needs repair
43505,functional needs repair
56283,functional
51883,functional needs repair
29036,non functional
51199,functional
1904,functional
11635,non functional
17581,non functional
7769,non functional
57064,functional
47888,non functional
30235,non functional
46998,functional
34666,non functional
13353,functional
49374,non functional
26266,non functional
55048,functional
37572,non functional
58242,functional
26533,functional
55169,functional
48547,non functional
13548,non functional
29556,non functional
33486,functional
56578,functional
7326,non functional
8483,non functional
49775,functional needs repair
30293,non functional
57251,non functional
32433,functional
17566,functional needs repair
25865,non functional
53904,functional
121,functional
17710,non functional
55576,functional
16003,functional needs repair
46918,functional
11052,functional
7215,functional
963,non functional
23400,functional
19454,non functional
53217,functional
2847,non functional
1147,functional
43236,non functional
43932,non functional
59037,functional needs repair
19550,functional needs repair
18347,functional needs repair
27983,functional
13384,functional needs repair
6889,non functional
21724,non functional
1251,functional
5281,non functional
43144,functional
230,functional
41033,functional needs repair
42200,functional
44437,functional
13209,non functional
53929,functional
27893,functional
3480,functional needs repair
39669,non functional
42601,functional needs repair
14680,functional needs repair
55493,functional
56565,functional
25639,functional
31853,non functional
41960,functional
53886,functional
38338,functional
31329,functional
19111,functional
26775,non functional
17102,non functional
59350,non functional
37872,functional
4411,non functional
49462,non functional
48996,functional
47435,non functional
57567,non functional
31956,non functional
11007,non functional
23045,functional
41283,non functional
8729,non functional
3451,functional
2628,non functional
41226,functional
45595,functional needs repair
6652,functional needs repair
58706,non functional
5802,functional
33692,non functional
24712,non functional
39463,non functional
50181,non functional
12445,functional needs repair
10245,functional needs repair
13143,functional
21080,non functional
41774,functional
36232,non functional
43754,non functional
19976,non functional
19883,functional
42510,functional
48783,non functional
19001,non functional
3472,non functional
33116,functional
38849,functional
19365,non functional
43503,functional
25550,functional
29934,functional
44057,functional
43078,functional
41306,functional
3354,functional
35945,functional
45423,non functional
9116,non functional
52512,non functional
57495,functional
50255,non functional
14091,functional
23203,non functional
56430,non functional
23503,functional
54959,non functional
13008,functional
54677,non functional
48931,non functional
22442,functional
41782,non functional
20403,non functional
41270,non functional
11849,functional
7840,non functional
14454,functional
14968,non functional
2071,functional
22581,non functional
46623,functional
27421,functional
9358,functional
11488,non functional
47368,functional
46883,non functional
18418,functional
40894,functional
40350,functional
24969,functional
264,functional
39059,functional
48556,functional needs repair
35750,functional
51864,functional
28301,functional
58776,functional
12654,functional
20844,non functional
8725,non functional
50721,non functional
46205,functional
14777,non functional
9029,non functional
58129,functional
49409,non functional
45920,non functional
36905,non functional
17125,non functional
33147,functional
49787,functional
4641,functional
30512,non functional
29268,non functional
39701,functional
9042,non functional
59016,non functional
49089,functional
25062,non functional
5768,functional
1719,non functional
18327,functional
41113,non functional
48424,functional
47172,functional
57558,functional
10718,non functional
37446,functional
7119,functional
12527,functional
58906,non functional
4483,functional
21189,non functional
58928,functional
40266,functional
22600,non functional
50621,functional
6520,functional
38988,functional
57518,non functional
29280,functional
12798,functional
50031,functional
39495,non functional
42689,functional
15737,non functional
3662,functional
8560,functional
11677,functional
14447,functional needs repair
27666,non functional
7877,functional needs repair
45012,functional
41544,non functional
43760,non functional
6053,non functional
5890,non functional
6746,non functional
58132,non functional
8388,functional
38257,non functional
15129,functional
18435,functional
22904,non functional
42992,non functional
15069,non functional
45296,functional
762,non functional
10200,non functional
40036,non functional
13831,non functional
59361,non functional
49394,non functional
54697,non functional
35749,non functional
38018,functional
58789,functional needs repair
6768,non functional
16504,functional
55326,non functional
4634,functional
35605,functional needs repair
23972,functional
7438,non functional
14793,functional
6879,non functional
56358,functional
57003,non functional
10984,non functional
15392,non functional
49523,non functional
12784,non functional
44436,functional
40543,non functional
56666,non functional
45471,functional
36614,functional needs repair
46513,functional
28146,functional needs repair
58774,non functional
25872,non functional
57242,functional
56577,functional
20937,functional
22533,non functional
24157,functional
20399,functional needs repair
35102,functional
13938,non functional
19964,functional
21065,functional
6596,non functional
58193,functional
35108,non functional
12893,functional
18004,functional
27096,non functional
29188,functional
23036,functional
50522,functional
28150,functional
56103,functional
56811,non functional
26632,functional
57977,non functional
6000,non functional
54392,functional needs repair
9508,non functional
13038,functional
3965,functional
12220,functional
39085,functional
11257,functional
32943,non functional
18291,non functional
31187,non functional
34662,functional
54503,non functional
38845,functional
21522,functional
21524,non functional
820,functional
31805,functional
26683,non functional
35569,functional
38863,functional
28579,functional
17173,functional
38620,functional
19788,functional
8580,non functional
25728,functional
29906,functional
47066,non functional
4480,functional
15874,functional
6264,non functional
46027,functional
46743,non functional
7594,functional
32506,functional needs repair
48318,non functional
16185,functional
54814,functional
6814,functional
43775,functional
54439,functional
6725,functional needs repair
54576,functional
35978,non functional
16019,functional
47470,functional
45820,functional
49182,functional
39736,functional
6003,non functional
24163,non functional
34146,functional
35082,non functional
50847,non functional
26313,functional
58082,functional
49906,non functional
38093,non functional
11794,functional
3406,non functional
54510,functional
45795,functional
5557,functional
35021,non functional
50410,functional
6597,non functional
12249,functional needs repair
5992,functional
9238,functional
4430,functional
42004,non functional
36698,functional
11370,functional
3165,non functional
8105,non functional
31215,functional
2702,non functional
55298,functional
58173,functional
26725,functional needs repair
19220,functional needs repair
29591,non functional
56912,non functional
58480,functional
39561,non functional
19236,non functional
30182,non functional
12097,non functional
5824,functional
4197,functional
38251,functional
58349,functional
38053,functional
45332,functional
43805,non functional
19408,functional
4126,non functional
51858,functional
28279,non functional
25982,functional needs repair
57105,non functional
48864,non functional
23789,functional
23943,functional
31427,functional
34184,functional
243,non functional
41762,non functional
55454,functional needs repair
24677,non functional
40401,non functional
40284,functional
32219,non functional
31702,functional
24985,functional
41060,functional
12730,non functional
15751,non functional
50243,functional
6440,functional needs repair
50268,non functional
19339,functional needs repair
703,functional
26383,functional
25082,non functional
24733,functional
50171,functional
56829,functional
8340,non functional
16337,non functional
31141,non functional
5976,functional
47243,non functional
1896,functional
12174,functional
42590,non functional
16239,functional
4254,functional
47100,non functional
17702,functional
42480,non functional
14905,functional
37047,functional
12137,non functional
51441,functional
9753,functional
37645,functional
852,non functional
40632,non functional
11733,non functional
39271,functional
8845,non functional
20853,non functional
36189,functional
55487,functional
25086,functional
18508,non functional
44752,functional
27636,non functional
25182,functional
40122,functional
55323,functional
39189,functional
7581,functional needs repair
3839,non functional
38037,non functional
32319,functional
2310,non functional
23978,functional
12327,non functional
33429,functional
11865,non functional
30468,non functional
52529,non functional
44469,functional
26856,functional
29901,functional
30390,non functional
32056,functional
47739,functional
29779,non functional
48559,non functional
43549,non functional
4268,functional
5261,non functional
9997,functional
51839,functional
37988,functional
51952,functional
26226,non functional
23018,non functional
39902,functional
51683,functional
45062,non functional
46460,functional
41947,functional
6604,functional
7792,functional
7150,functional
37169,functional
58288,functional
1296,functional
42908,non functional
24098,non functional
49453,functional needs repair
32403,functional
33963,non functional
57076,functional
16970,functional needs repair
18338,non functional
4667,functional
59151,functional
1026,non functional
18962,non functional
57592,functional
38992,non functional
21535,functional
29021,non functional
37788,non functional
24572,functional
18140,functional
6018,non functional
50249,non functional
39315,functional needs repair
5740,functional
49380,non functional
27556,non functional
52037,functional
26103,functional
28591,functional
18475,functional
58109,functional
25990,non functional
18627,non functional
58567,non functional
5336,non functional
4717,functional
31586,non functional
28115,functional needs repair
30052,non functional
23292,non functional
22329,functional
540,non functional
56308,non functional
34538,functional
36564,functional
23399,functional
39644,non functional
51817,non functional
32978,functional
55248,non functional
5858,non functional
48211,functional needs repair
24069,functional
4328,functional
34029,non functional
5107,non functional
29349,functional
33197,functional
53576,functional
17382,non functional
51194,non functional
39556,functional
35707,functional
20646,functional
8969,functional
17971,non functional
29368,functional needs repair
20857,functional
55854,non functional
30019,functional
28723,functional
55543,non functional
51918,functional
16441,functional
54588,functional
13870,non functional
27008,functional
1564,non functional
21722,functional
30865,functional
23260,functional
19676,non functional
29638,non functional
25561,functional
56442,non functional
51755,non functional
12276,functional
41529,non functional
34535,functional needs repair
24418,functional
29246,non functional
6162,non functional
34628,non functional
58268,functional
24851,functional
48894,functional
44499,non functional
55040,non functional
45934,functional
47805,non functional
56827,non functional
22261,functional needs repair
46912,non functional
41173,functional
37745,non functional
14756,functional
55518,functional
2001,functional needs repair
59063,functional
49186,non functional
50396,functional
21531,functional
40332,non functional
56790,functional needs repair
21365,non functional
775,functional needs repair
19284,non functional
48149,functional
46456,functional
23870,functional
19378,non functional
33668,non functional
39145,non functional
34279,non functional
983,non functional
33211,functional needs repair
1387,functional
53878,functional needs repair
46861,functional
18803,non functional
50579,functional
14150,non functional
23162,functional
10446,non functional
27442,functional
7285,non functional
38300,non functional
56400,functional
44844,non functional
59299,functional
1815,functional
31373,functional
139,functional
26391,functional
24412,functional
28209,functional
9473,non functional
20482,functional
53713,functional
21478,non functional
35555,functional
14703,functional needs repair
40892,non functional
5915,functional
22349,non functional
38124,functional
24068,functional
12277,non functional
5437,functional needs repair
43974,non functional
30249,functional
8144,non functional
51110,non functional
54604,non functional
23941,functional
21916,functional
13533,functional needs repair
6580,non functional
45983,non functional
19805,functional
39167,functional
27623,non functional
46153,non functional
5686,non functional
50279,functional
1794,non functional
23392,non functional
59164,non functional
5531,functional
41057,functional needs repair
22583,non functional
24973,functional
37600,functional
24880,functional
46984,non functional
33456,functional
30754,functional
58290,non functional
8867,functional needs repair
4620,functional
7643,functional
455,functional
45845,functional
12241,functional
14134,non functional
46729,functional
16296,functional
21186,functional
39418,functional
21451,non functional
53294,functional
49734,non functional
10818,non functional
11976,functional
12080,non functional
32058,functional
28479,functional
33940,functional
3033,functional
24705,functional
37520,non functional
1613,non functional
12246,functional
14649,functional
54811,functional
6169,non functional
119,non functional
38054,non functional
55878,non functional
41225,functional
35389,non functional
19058,non functional
13198,functional
53017,functional
2041,non functional
1345,non functional
24645,functional needs repair
49999,non functional
32042,non functional
55300,functional
26402,non functional
10309,non functional
9525,non functional
40243,functional
50452,non functional
30704,functional
34596,functional
27639,functional
16216,functional
22148,functional needs repair
36377,functional
49954,non functional
36026,non functional
24891,functional
49303,non functional
29942,non functional
37720,functional
5705,functional
49684,functional
39677,non functional
39780,non functional
18662,functional needs repair
36195,functional
56559,functional
27121,functional needs repair
53040,functional
28186,non functional
21167,functional
8707,functional
3523,functional
39409,non functional
43575,functional
1275,non functional
10354,non functional
46750,non functional
15763,non functional
16041,functional needs repair
21369,functional
2215,non functional
25263,functional
47220,functional
2009,non functional
25029,functional
57527,functional
32331,functional
32292,non functional
41296,functional
15885,functional
8704,non functional
14218,non functional
27879,non functional
8637,functional needs repair
30514,non functional
43153,non functional
31662,functional
5162,functional
58072,functional
8832,functional
17757,non functional
18818,functional
32257,functional
39634,non functional
16811,functional
53986,functional
45069,non functional
48790,functional
15482,non functional
18353,non functional
51568,non functional
48548,non functional
15878,functional
45518,functional
38617,functional needs repair
49312,functional
8918,non functional
51052,functional
54596,functional
19495,non functional
45787,functional
40950,non functional
19711,non functional
58337,non functional
15670,functional
27237,functional
36530,functional
38455,functional
24768,functional
31632,non functional
4170,functional
46746,non functional
36936,non functional
55946,functional
29102,functional
46008,functional
30231,functional
44775,non functional
9717,non functional
11149,non functional
15968,functional needs repair
38159,functional
20686,non functional
19855,functional
37740,functional
21935,functional
44712,non functional
19022,non functional
49047,functional
36248,functional needs repair
31395,non functional
12774,functional needs repair
51318,functional
27401,functional needs repair
10383,functional
37451,non functional
48764,functional
45680,functional
39340,functional
14592,functional
19208,functional
871,functional
29413,functional
19186,functional
3580,functional
4709,functional
49837,functional
23209,non functional
25253,functional
990,functional
34123,non functional
35603,functional
17370,functional
21480,non functional
31582,functional
122,non functional
59143,functional
42629,functional
50436,functional
9094,functional needs repair
57859,non functional
3208,functional
32033,non functional
42518,functional
2074,non functional
10275,non functional
35896,non functional
58915,non functional
7763,functional
26653,non functional
25846,functional
55968,non functional
52415,non functional
28547,functional
10673,functional
24004,non functional
54063,functional
45313,non functional
12325,functional needs repair
13626,functional
37933,functional needs repair
59178,functional
14722,functional
47698,non functional
13128,non functional
49209,non functional
41022,functional
11501,functional
55960,functional
47899,non functional
56672,non functional
42843,functional
28458,functional needs repair
51092,non functional
42419,functional
10843,non functional
43752,non functional
38539,functional
15122,functional
34908,functional needs repair
34508,non functional
1994,non functional
26496,non functional
11895,functional
49431,functional
56305,functional
10797,functional
47903,functional needs repair
34913,functional
16596,functional
10650,functional
7589,non functional
14734,non functional
1662,non functional
12629,functional
36645,non functional
24208,functional
9556,functional
20356,non functional
57557,functional
43034,non functional
21396,non functional
57380,non functional
5043,non functional
39800,functional needs repair
18567,non functional
6996,functional
32719,non functional
57624,functional
50123,functional
4450,functional
36146,functional
41338,functional
37801,non functional
16132,functional
44043,non functional
46829,functional
33791,non functional
8099,non functional
27681,functional
7057,functional
56883,non functional
51129,functional needs repair
27727,non functional
51421,functional
58873,functional
47538,functional
34795,non functional
29874,functional
21105,non functional
12459,functional
48735,non functional
53773,functional
28883,functional
2390,functional
1520,non functional
13985,non functional
59246,functional needs repair
21068,non functional
9747,functional
16985,functional
34667,non functional
18906,functional
15801,non functional
43530,functional
10603,functional
49521,functional needs repair
1733,non functional
51172,functional
53579,non functional
38833,functional
33363,functional
53844,non functional
35812,functional
54068,functional
41146,non functional
47196,non functional
6934,functional
54918,functional
51115,functional
30809,functional
1871,functional
32949,functional
47940,non functional
35721,functional
40170,functional
13839,functional
48461,functional
40272,functional
41891,functional
8814,functional
39247,non functional
19699,functional
40480,functional
30787,non functional
40029,functional
19580,functional
47944,non functional
55435,non functional
6252,functional
35964,non functional
30478,non functional
27669,non functional
11558,functional
24465,non functional
3725,functional
12378,functional
32477,functional
53917,non functional
9919,functional
17176,functional
49829,functional
56505,functional
15002,functional
11858,functional needs repair
19103,functional
42179,non functional
47547,functional
52082,functional
48672,functional
25162,functional
6148,functional
12309,functional
47237,non functional
10854,non functional
16797,functional
39540,functional
46915,functional
58572,functional needs repair
48717,non functional
2656,functional
30238,functional
6409,functional
22557,functional
6977,non functional
51641,functional
47481,functional needs repair
38695,functional
58588,functional needs repair
18278,non functional
1311,functional
48307,non functional
35166,functional needs repair
30700,non functional
15706,non functional
44192,non functional
7723,non functional
41292,non functional
51867,non functional
54221,non functional
8523,functional needs repair
54279,functional
8019,non functional
2153,functional
25699,non functional
25,functional needs repair
7842,non functional
27871,functional needs repair
4952,functional
29609,functional
24121,functional needs repair
47478,non functional
34380,non functional
19683,functional
43789,non functional
34443,functional needs repair
17078,non functional
24047,functional
3250,non functional
37460,functional
26042,functional
22792,functional needs repair
1149,non functional
48032,non functional
46810,functional
53421,functional
43312,functional
43331,non functional
55257,non functional
35076,non functional
56353,functional needs repair
50518,non functional
25300,functional
43142,functional
41963,functional
46803,functional
12478,non functional
1305,functional
19854,non functional
9539,non functional
1981,functional
28777,functional
49601,functional
1029,non functional
6899,functional
47027,functional needs repair
34059,non functional
25240,non functional
14077,functional
1730,functional needs repair
46899,functional needs repair
40353,non functional
42393,functional
18820,non functional
31444,functional
15061,functional
12337,functional needs repair
33185,functional
42584,functional
34218,non functional
12073,non functional
32133,functional
2078,functional
34920,functional
26573,non functional
10863,non functional
39156,functional
55280,non functional
55978,functional
55212,non functional
41365,functional needs repair
39395,functional
29512,functional
32072,non functional
46809,functional needs repair
6219,functional needs repair
4751,functional
16233,non functional
14058,non functional
53949,functional
26538,functional
4463,functional
3163,functional
22321,functional
9802,functional
44015,functional
34606,non functional
24433,non functional
27985,non functional
55000,functional
50204,functional
14057,functional needs repair
44639,functional
28042,non functional
34861,functional
12063,non functional
19625,functional
35793,non functional
39571,non functional
59384,non functional
25926,non functional
51267,non functional
56472,functional
17936,functional
29082,non functional
39589,functional
59214,non functional
53527,functional
51509,functional
19607,non functional
1142,functional
23743,non functional
7448,functional
22594,functional needs repair
28162,functional
53519,functional
30827,functional
55299,functional
1918,functional needs repair
10138,functional
24857,non functional
41028,functional
18392,non functional
20216,functional
58987,non functional
26574,functional
19591,non functional
41063,non functional
28824,functional needs repair
47090,functional
44877,non functional
34544,non functional
13260,non functional
47215,non functional
12973,functional
54740,non functional
55709,non functional
2168,functional
45728,non functional
38245,functional
22336,functional
11747,functional
58553,functional
56675,non functional
39368,functional
54149,functional
6864,functional
13559,functional
58923,functional
36111,non functional
34466,non functional
3682,functional
6603,functional
29095,non functional
51954,non functional
9375,functional
20498,non functional
56989,functional
53445,non functional
27136,functional
26356,functional
31157,non functional
1202,functional
42643,functional
38789,non functional
5805,non functional
8732,functional
47901,functional
3198,non functional
24825,functional
33554,non functional
21299,functional
50351,functional
53255,non functional
18798,non functional
22550,functional
36663,functional
30775,functional
25869,non functional
54281,functional needs repair
23661,functional
26816,non functional
37202,functional
41049,functional
31540,non functional
17188,functional
382,functional
31413,functional needs repair
14137,functional needs repair
36548,non functional
24100,functional needs repair
18503,functional
32616,non functional
28431,functional
5623,functional
42885,non functional
32639,functional
2884,non functional
45319,functional
44030,non functional
5532,functional
8312,functional
53920,non functional
56375,non functional
16210,non functional
12804,functional needs repair
51989,functional needs repair
35792,functional
5191,functional
18770,functional
4680,functional
3310,non functional
48127,non functional
23603,functional
32678,functional
2653,non functional
47117,functional
24072,functional
35734,functional
38456,functional
2733,non functional
53463,non functional
31801,functional
53050,functional
40918,functional
837,functional
12889,functional needs repair
2752,non functional
3162,non functional
20989,functional
38552,functional
3138,functional
25610,functional
28322,non functional
22109,functional
17222,functional
52231,non functional
38661,functional
